team_display,fifa_rank,fifa_points,squad_value_m,squad_strength_score,star_name,star_role,star_available,star_available_status,star_available_source,key_absence_count,doubtful_count,injury_impact_score,star_unavailable_penalty,injury_adjusted_squad_strength_score,injury_adjustment_amount,injury_status_summary,injury_status_source,injury_last_checked,injury_data_quality,audit_status,source_url_1,source_url_2,source_url_3,manual_notes,priority_group,priority_rank
France,1,1877.322731,1520.0,2.1942422102042247,Kylian Mbappe,primary_attacking_star,1,available_monitoring_previous_hamstring_issue,Reuters: Mbappe hamstring injury reported before World Cup,0.0,0.5,0.15,0.0,2.044242210204225,-0.1499999999999999,Mbappe had a reported hamstring issue before the tournament; no confirmed ruled-out status used here.,Reuters: Mbappe hamstring injury report,2026-06-06 14:26:50,manually_checked_recent_news_pilot,pilot_checked,,,,,high_priority,1
Spain,2,1876.395199,1220.0,1.9497037426731827,Lamine Yamal,primary_attacking_star,1,available_monitoring_hamstring_recovery,Reuters / ESPN injury tracker,0.0,0.5,0.2,0.0,1.7497037426731827,-0.1999999999999999,"Yamal is expected to be available, but Spain may manage his minutes because of recent hamstring injury recovery.",Reuters: Spain injury concerns easing; ESPN: Yamal should play but recovering from hamstring injury,2026-06-06 18:07:19,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/spain-embrace-favourites-tag-de-la-fuente-warns-world-cup-offers-no-guarantees-2026-06-06/,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,,"Treat as fitness monitoring, not ruled out. Apply modest penalty because minutes may be managed.",high_priority,1
England,4,1825.965482,1360.0,1.8852539065418148,Jude Bellingham,primary_midfield_attacking_star,1,named_in_squad_no_current_ruled_out_signal,Reuters World Cup team page,0.0,0.0,0.0,0.0,1.8852539065418148,0.0,Bellingham is listed in England's World Cup squad. No current ruled-out injury signal is applied in this audit step.,Reuters team page / England squad report,2026-06-06 18:07:19,manually_checked_recent_news,injury_checked,https://www.reuters.com/graphics/SOCCER-WORLDCUP/mopaoglqkpa/teams/england/,https://www.reuters.com/sports/soccer/england-leave-foden-palmer-out-world-cup-squad-2026-05-22/,,"Foden, Palmer, and Alexander-Arnold omissions are not treated as injury absences here.",high_priority,1
Argentina,3,1874.814835,800.5,1.5983959050955283,Lionel Messi,primary_attacking_star,1,available_monitoring_recent_muscle_strain,Reuters: Messi recovering well and could feature in warm-ups,1.0,0.5,0.35,0.0,1.2483959050955282,-0.3500000000000001,Messi is available but recently had a muscle strain; Leonardo Balerdi has been ruled out with a calf injury.,Reuters: Messi recovery report; Reuters: Balerdi ruled out,2026-06-06 14:26:50,manually_checked_recent_news_pilot,pilot_checked,,,,,high_priority,1
Portugal,5,1763.834406,1010.0,1.38562896330035,Cristiano Ronaldo,primary_attacking_star_candidate,1,named_in_squad_no_current_ruled_out_signal,Reuters: Ronaldo named in Portugal World Cup squad,0.0,0.0,0.0,0.0,1.38562896330035,0.0,Ronaldo has been named in Portugal's World Cup squad. No current ruled-out injury signal is applied in this audit step.,Reuters Portugal squad report,2026-06-06 18:07:19,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/ronaldo-lead-portugal-sixth-world-cup-martinez-names-27-man-squad-2026-05-19/,https://www.reuters.com/sports/soccer/portugal-carry-hot-streak-baggage-into-ronaldos-sixth-world-cup-2026-06-02/,,Previous minor injury concern is not treated as a current injury penalty.,high_priority,1
Brazil,6,1761.16093,923.2,1.3014119697681086,Vinicius Junior,primary_attacking_star,1,named_in_squad_no_current_ruled_out_signal,Reuters Brazil team page,2.0,0.5,0.45,0.0,0.8514119697681086,-0.4499999999999999,"Vinicius Junior is listed in Brazil's World Cup squad. However, Brazil have broader attacking and defensive injury issues: Neymar is monitoring a calf injury, while Rodrygo, Estevao, and Eder Militao were reported as left out due to injuries.",Reuters Brazil team page; Reuters Brazil preview on Neymar calf injury and other injury omissions,2026-06-06 18:08:28,manually_checked_recent_news,injury_checked,https://www.reuters.com/graphics/SOCCER-WORLDCUP/mopaoglqkpa/teams/brazil/,https://www.reuters.com/sports/soccer/ancelotti-gambles-fading-neymar-brazil-chase-elusive-sixth-crown-2026-06-01/,,"Vinicius is treated as available. Penalty reflects broader Brazil squad injury drag, especially Neymar monitoring plus reported injury-related omissions.",high_priority,1
Germany,10,1730.37136,947.0,1.2091112823496604,Jamal Musiala,primary_attacking_midfield_star,1,named_in_squad_available_after_long_injury_recovery,Reuters Germany team page / Reuters Musiala recovery report,1.0,0.0,0.15,0.0,1.0591112823496605,-0.1499999999999999,Musiala is listed in Germany's World Cup squad after returning from a serious prior injury. Lennart Karl has been ruled out of the World Cup with a muscle tear.,Reuters Germany team page; Reuters: Karl ruled out with muscle tear; Reuters: Musiala recovery report,2026-06-06 18:08:28,manually_checked_recent_news,injury_checked,https://www.reuters.com/graphics/SOCCER-WORLDCUP/mopaoglqkpa/teams/germany/,https://www.reuters.com/sports/soccer/germanys-karl-ruled-out-world-cup-with-muscle-tear-2026-06-06/,https://www.reuters.com/sports/soccer/musiala-magic-will-be-full-display-very-soon-bayerns-kompany-says-2026-04-21/,Musiala is not penalized as ruled out. Small team-level penalty reflects Karl's confirmed absence.,high_priority,1
Netherlands,7,1757.874428,804.2,1.1874718165052205,Virgil van Dijk,primary_defensive_star,1,named_in_squad_no_current_ruled_out_signal,Reuters Netherlands preview / FIFA interview signal,1.0,0.5,0.35,0.0,0.8374718165052205,-0.35,"Van Dijk is treated as available. Netherlands have important injury concerns: Xavi Simons is ruled out, and Jurrien Timber has fitness doubts related to a groin injury.",Reuters Netherlands preview: Xavi Simons ruled out; Jurrien Timber fitness doubts,2026-06-06 18:08:28,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/netherlands-aim-world-cup-glory-despite-lack-star-power-2026-06-01/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/virgil-van-dijk-interview-netherlands,,"Van Dijk is available, but team-level penalty reflects Simons out and Timber fitness doubt.",high_priority,1
Morocco,8,1755.86841,498.3,0.8940359407659426,Achraf Hakimi,primary_wide_defensive_attacking_star,1,available_monitoring_recent_hamstring_issue,ESPN injury tracker / Reuters Morocco squad report,0.0,1.0,0.25,0.0,0.6440359407659426,-0.25,"Hakimi is treated as available but monitored after a reported hamstring issue. Morocco also selected injured defender Nayef Aguerd, while En-Nesyri was left out. En-Nesyri is not counted as an injury absence here because the source does not clearly classify it as injury-related.",Reuters: Morocco selected injured Aguerd and left out En-Nesyri; ESPN injury tracker: Hakimi hamstring monitoring,2026-06-06 18:09:55,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/morocco-select-injured-aguerd-world-cup-en-nesyri-misses-out-2026-05-26/,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,,Modest penalty: star treated as available; team-level concern from Hakimi monitoring and Aguerd fitness.,high_priority,1
Belgium,9,1734.714832,547.5,0.87000681504734,Kevin De Bruyne,primary_midfield_star_candidate,1,named_in_squad_no_current_ruled_out_signal,Reuters Belgium preview / squad context,0.0,1.0,0.25,0.0,0.62000681504734,-0.25,"De Bruyne is treated as available. Belgium's team-level penalty reflects Lukaku's return from a hamstring-disrupted season, with Reuters reporting caution around his match fitness and likely limited role early in the tournament.",Reuters Belgium preview; Reuters Lukaku comeback and fitness reports,2026-06-06 18:09:55,manually_checked_recent_news,injury_checked,https://www.reuters.com/sports/soccer/belgiums-new-generation-no-longer-bear-burden-expectation-world-cup-2026-06-02/,https://www.reuters.com/sports/soccer/lukaku-comeback-trail-insists-belgium-coach-2026-06-01/,https://www.reuters.com/sports/soccer/belgium-coach-seeks-temper-lukaku-fever-2026-06-05/,"Penalty is team-level, not De Bruyne-specific. Lukaku is important but not treated as fully ruled out.",high_priority,1
